0.	0.0006620458928737649
0.5	0.0007105387378339631
1.	0.0008590172727145576
1.5	0.001116481497515548
2.	0.0014979314122369354
2.5	0.002024367016878719
3.	0.002722788311440899
3.5	0.003626195295923474
4.	0.004773587970326447
4.5	0.006209966334649816
5.	0.00798633038889358
5.5	0.010159680133057741
6.	0.0127930155671423
6.5	0.015955336691147244
7.	0.019721643505072606
7.5	0.024172936008918348
8.	0.029396214202684484
8.5	0.035484478086371056
9.	0.04253672765997795
9.5	0.05065796292350532
10.	0.059959183876953044
