0.	-0.08905125337047497	-0.007434436549921353
0.5	-0.08955125337047495	-0.007934436549921351
1.	-0.09105125337047497	-0.009434436549921349
1.5	-0.09355125337047498	-0.01193443654992135
2.	-0.09705125337047492	-0.015434436549921342
2.5	-0.10155125337047496	-0.019934436549921365
3.	-0.10705125337047498	-0.02543443654992135
3.5	-0.11355125337047499	-0.03193443654992137
4.	-0.12105125337047504	-0.039434436549921306
4.5	-0.12955125337047502	-0.0479344365499214
5.	-0.13905125337047503	-0.0574344365499214
5.5	-0.14955125337047492	-0.06793443654992136
6.	-0.161051253370475	-0.07943443654992134
6.5	-0.1735512533704749	-0.09193443654992134
7.	-0.18705125337047496	-0.10543443654992139
7.5	-0.20155125337047491	-0.11993443654992143
8.	-0.21705125337047473	-0.13543443654992116
8.5	-0.23355125337047505	-0.1519344365499214
9.	-0.2510512533704751	-0.16943443654992152
9.5	-0.26955125337047503	-0.1879344365499214
10.	-0.2890512533704751	-0.20743443654992155
