0.	0.007917376605389848
0.5	0.007963753911959042
1.	0.00810363583166662
1.5	0.008339272364512589
2.	0.008674413510496942
2.5	0.009114309269619682
3.	0.009665709641880809
3.5	0.010336864627280323
4.	0.011137524225818221
4.5	0.012078938437494509
5.	0.013173857262309182
5.5	0.014436530700262242
6.	0.01588270875135369
6.5	0.017529641415583525
7.	0.019396078692951742
7.5	0.021502270583458348
8.	0.023869967087103344
8.5	0.026522418203886726
9.	0.02948437393380849
9.5	0.03278208427686864
10.	0.03644329923306719
