0.	-1.2000227498277711	-0.4999772501722293
0.5	-1.200272749827771	-0.5002272501722294
1.	-1.2010227498277712	-0.5009772501722293
1.5	-1.2022727498277712	-0.5022272501722294
2.	-1.2040227498277711	-0.5039772501722293
2.5	-1.2062727498277712	-0.5062272501722294
3.	-1.209022749827771	-0.5089772501722293
3.5	-1.212272749827771	-0.5122272501722293
4.	-1.2160227498277711	-0.5159772501722293
4.5	-1.2202727498277712	-0.5202272501722293
5.	-1.225022749827771	-0.5249772501722293
5.5	-1.230272749827771	-0.5302272501722293
6.	-1.236022749827771	-0.5359772501722293
6.5	-1.242272749827771	-0.5422272501722293
7.	-1.2490227498277713	-0.5489772501722293
7.5	-1.256272749827771	-0.5562272501722294
8.	-1.2640227498277712	-0.5639772501722293
8.5	-1.272272749827771	-0.5722272501722293
9.	-1.281022749827771	-0.5809772501722293
9.5	-1.290272749827771	-0.5902272501722293
10.	-1.300022749827771	-0.5999772501722292
